,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
44,CA,Alameda County,37.759995,-121.577583,419.0,99764.0,95391,California,323700.0,320700.0,308500.0,305700.0,352000.0,438900.0,424100.0,503800.0,503500,588200.0,-0.009267840593141785,-0.03804178359837851,-0.009076175040518608,0.1514556754988552,0.24687499999999996,-0.03372066529961271,0.1879273756189579,-0.0005954743946010588,0.16822244289970212,1,0.483203011873733
45,CA,Yolo County,38.580673,-121.861214,1707.0,44741.0,95616,California,,,,,,,,536500.0,575400,638600.0,,,,,,,,0.072506989748369,0.10983663538408073,1,0.7605853198017465
0,MA,Worcester County,42.15,-71.52,1886.0,66547.0,1757,Massachusetts,,,,,238300.0,258900.0,264300.0,271000.0,286800,290300.0,,,,,0.08644565673520765,0.02085747392815751,0.025349981082103623,0.05830258302583036,0.01220362622036264,0,0.4354695729259008
1,MA,Suffolk County,42.4,-71.03,15907.0,47291.0,2150,Massachusetts,,,,,,,241200.0,261700.0,317400,341500.0,,,,,,,0.08499170812603651,0.2128391287734046,0.0759294265910524,0,0.20588107355691854
2,MA,Essex County,42.47,-71.01,2468.0,76339.0,1906,Massachusetts,,,,280100.0,291700.0,323500.0,322400.0,337600.0,366900,404600.0,,,,0.04141378079257407,0.1090161124442921,-0.0034003091190107915,0.04714640198511155,0.08678909952606628,0.10275279367675116,0,0.33579118124170476
3,MA,Plymouth County,42.05,-70.71,634.0,118272.0,2332,Massachusetts,,,,,,,,585900.0,585100,617600.0,,,,,,,,-0.0013654207202594693,0.055546060502478234,0,0.6982476982476983
4,MA,Bristol County,41.64,-70.94,7579.0,34259.0,2740,Massachusetts,,,,,125200.0,151400.0,159700.0,151200.0,210000,183500.0,,,,,0.20926517571884995,0.05482166446499348,-0.05322479649342515,0.38888888888888884,-0.1261904761904762,0,0.23110957483581057
5,MN,Hennepin County,44.92,-93.48,1859.0,89936.0,55345,Minnesota,,,,,,,310600.0,313000.0,336000,376400.0,,,,,,,0.007726980038634812,0.07348242811501593,0.12023809523809526,0,0.6268588869407105
6,MN,Anoka County,45.3,-93.3,665.0,91222.0,55304,Minnesota,,,,,,,,248600.0,263900,266000.0,,,,,,,,0.061544650040225246,0.007957559681697646,0,0.42538599277002603
7,MN,Hennepin County,44.9,-93.6,1172.0,108911.0,55331,Minnesota,,,,,,383000.0,420000.0,490700.0,521700,480100.0,,,,,,0.0966057441253263,0.16833333333333322,0.06317505604238849,-0.07973931378186694,0,0.660638386532211
8,MN,Dakota County,44.8,-93.14,2369.0,103829.0,55123,Minnesota,,,,240000.0,291900.0,266800.0,283400.0,290600.0,300900,305700.0,,,,0.21625000000000005,-0.08598835217540257,0.06221889055472274,0.025405786873676783,0.035443909153475506,0.0159521435692922,0,0.6802509710188228
9,MN,Ramsey County,45.01,-93.16,2613.0,61113.0,55113,Minnesota,225900.0,196400.0,175500.0,167100.0,198400.0,215000.0,219800.0,220400.0,235300,237100.0,-0.130588756086764,-0.10641547861507128,-0.047863247863247915,0.18731298623578696,0.08366935483870974,0.022325581395348904,0.0027297543221109777,0.0676043557168784,0.007649808754781162,0,0.5456549566206799
10,CA,Orange County,33.81,-117.81,5608.0,79650.0,92867,California,437500.0,497400.0,503800.0,437200.0,511800.0,606500.0,623000.0,621300.0,677900,713100.0,0.13691428571428577,0.012866907921190274,-0.13219531560142916,0.17063129002744737,0.18503321610003898,0.027205276174773196,-0.0027287319422151235,0.09109930790278442,0.05192506269361252,0,0.407435673789795
11,CA,Riverside County,33.92,-117.25,7277.0,42825.0,92553,California,,127100.0,131700.0,128500.0,147900.0,199100.0,220700.0,241600.0,257800,281600.0,,0.03619197482297398,-0.024297646165527764,0.1509727626459143,0.34617985125084516,0.10848819688598699,0.0946986859990937,0.06705298013245042,0.0923196276183087,0,0.15611886824863194
12,CA,Riverside County,33.7,-116.23,2729.0,41335.0,92201,California,150500.0,155300.0,140500.0,140200.0,167300.0,204200.0,215600.0,244500.0,261900,274800.0,0.03189368770764123,-0.09529942047649709,-0.002135231316725994,0.19329529243937227,0.2205618649133294,0.0558276199804113,0.13404452690166968,0.07116564417177917,0.049255441008018375,0,0.1952059437620326
13,CA,Riverside County,33.9,-117.0,1005.0,65692.0,92223,California,220600.0,203800.0,180800.0,171100.0,191500.0,239400.0,247200.0,269900.0,291100,316300.0,-0.07615593834995471,-0.11285574092247297,-0.05365044247787609,0.11922852133255413,0.25013054830287196,0.032581453634085156,0.09182847896440127,0.07854761022600965,0.08656818962555812,0,0.32517016349729844
14,CA,San Bernardino County,34.2,-117.4,901.0,51471.0,92407,California,,,146100.0,128300.0,173900.0,211000.0,242400.0,253300.0,287800,334600.0,,,-0.12183436002737846,0.35541699142634453,0.21334100057504313,0.14881516587677734,0.04496699669966997,0.1362021318594553,0.1626129256428075,0,0.21711867063803103
15,CA,Los Angeles County,34.4,-118.0,220.0,56279.0,93543,California,149200.0,112700.0,109300.0,103800.0,114400.0,156000.0,172200.0,181600.0,231500,271500.0,-0.24463806970509383,-0.030168589174800364,-0.05032021957914001,0.10211946050096343,0.36363636363636354,0.10384615384615392,0.05458768873403019,0.27477973568281944,0.17278617710583144,0,0.15817423188772284
16,CA,Alameda County,37.52,-121.9,1968.0,143949.0,94539,California,812600.0,857500.0,825400.0,772200.0,932300.0,972500.0,1201400.0,1308100.0,1331400,1481800.0,0.05525473787841495,-0.037434402332361505,-0.06445359825539132,0.20732970732970735,0.043119167649898094,0.2353727506426735,0.08881305143998675,0.017812093876614865,0.11296379750638419,0,0.7463441261815152
17,CA,San Joaquin County,38.03,-121.3,5892.0,40182.0,95210,California,,99300.0,101800.0,109900.0,104600.0,142300.0,158200.0,185600.0,212800,257400.0,,0.025176233635448186,0.0795677799607073,-0.048225659690627865,0.3604206500956022,0.11173576950105413,0.17319848293299622,0.14655172413793105,0.20958646616541343,0,0.2017767044719479
18,CA,San Joaquin County,38.03,-121.42,490.0,73911.0,95219,California,,,,,193000.0,280000.0,303700.0,325200.0,341700,381900.0,,,,,0.4507772020725389,0.08464285714285724,0.07079354626275935,0.050738007380073835,0.11764705882352944,0,0.5048603351955308
19,CA,Alameda County,37.4,-121.6,202.0,102413.0,94550,California,413500.0,424400.0,438500.0,425800.0,495000.0,616900.0,651800.0,716500.0,723900,828800.0,0.026360338573155895,0.0332233741753063,-0.028962371721778846,0.16251761390324093,0.24626262626262618,0.05657318852326143,0.09926357778459649,0.01032798325191897,0.14490951788921125,0,0.5208598676648752
